route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
266,regular,W,Cricklewood,Metroline,DD,"Brent Cross, Shopping Centre",Acton Old Town Hall,,Acton Old Town Hall / Salisbury Street,"Brent Cross, Shopping Centre",Acton Old Town Hall,,7.0,7.5,7.5,0.0,6.0,12.947,8.045
267,regular,TF,Fulwell (Twickenham),Transport UK,DD,Fulwell,Hammersmith,South Road / Fulwell,Hammersmith Bus Station,Fulwell,Hammersmith,,6.0,5.5,5.5,0.0,4.5,13.831,8.594
268,regular,W,Cricklewood,Metroline,SD,"Finchley Road, O2 Centre",Golders Green,O2 Centre / Sainsbury's,Golders Green Station,"Finchley Road, O2 Centre, O2 Centre / Sainsbury's",Golders Green,,3.5,3.5,3.5,0.0,3.0,6.258,3.888
269,regular,BX,Bexleyheath,Go-Ahead,DD,Bromley North,Friswell Place,Bromley North Station,,Bromley North,Friswell Place,,4.5,4.5,4.5,0.0,4.0,16.309,10.134
270,regular,BC,Beddington,Transport UK,DD,Mitcham,Putney Bridge,Madeira Road,Putney Bridge Station,"Mitcham, Madeira Road",Putney Bridge,,6.0,6.0,6.0,0.0,5.0,10.097,6.274
272,regular,V,Stamford Brook,First,SD,Shepherd's Bush,"Chiswick, Grove Park",Shepherd's Bush Station,Cavendish Road,Shepherd's Bush,"Chiswick, Grove Park, Cavendish Road",,4.0,4.0,4.0,0.0,4.0,9.523,5.917
273,regular,TL,Catford,Stagecoach London,SD,Petts Wood,Conington Road,Station Square / Petts Wood Station,,Petts Wood,Conington Road,,3.0,3.0,3.0,0.0,2.0,18.431,11.452
274,regular,HT; KC,Holloway; King's Cross,Metroline,DD,Lancaster Gate,"Islington, Angel",Lancaster Gate Station,Angel Islington / City Road,Lancaster Gate,"Islington, Angel, Angel Islington / City Road",,4.5,5.0,4.5,0.0,5.5,11.123,6.912
275,regular,T,Leyton,Stagecoach London,DD,Barkingside,"Walthamstow, St. James's Street Station",Barkingside Tesco,St James Street Station,Barkingside,"Walthamstow, St. James's Street Station, St James Street Station",,4.5,4.0,4.5,0.0,2.5,17.575,10.92
276,regular,HO,Lea Interchange,Stagecoach London,SD,Stoke Newington,Newham Hospital,Stoke Newington Common,Gateway Surgical Centre,Stoke Newington,"Newham Hospital, Gateway Surgical Centre",,5.0,5.0,5.0,0.0,4.0,17.503,10.876
277,regular,HK,Ash Grove,Stagecoach London,DD,Crossharbour,Dalston Junction,Isle of Dogs Asda,Forest Road,"Crossharbour, Isle of Dogs Asda","Dalston Junction, Forest Road",,5.0,5.5,5.5,0.0,5.0,12.294,7.639
278,regular,DH,Hayes,Transport UK,DD,Ruislip,Heathrow Central,Ruislip Station,Heathrow Central Bus Station,Ruislip,Heathrow Central,,4.0,4.0,4.0,0.0,3.0,16.801,10.44
279,regular,E,Enfield,Arriva,DD,Manor House,Waltham Cross,Manor House Station,Waltham Cross Bus Station,Manor House,Waltham Cross,,10.0,10.0,9.0,0.0,6.0,14.562,9.048
280,regular,AL,Merton,Go-Ahead,DD,Belmont,"Tooting, St. George's Hospital",Belmont Station / Brighton Road,St George's Hospital,Belmont,"Tooting, St. George's Hospital",,6.0,6.0,5.5,0.0,5.0,11.95,7.425
281,twentyfour,FW,Fulwell,First,DD,Tolworth Station,"Hounslow, Bus Station",,,Tolworth Station,"Hounslow, Bus Station",281N; 281R,5.5,6.0,5.5,3.0,5.5,19.134,11.889
282,regular,G,Greenford,Metroline,DD,Mount Vernon Hospital,Ealing Hospital,,,Mount Vernon Hospital,Ealing Hospital,,5.0,5.0,5.0,0.0,4.0,19.158,11.904
284,regular,KB,Kangley Bridge Road,Stagecoach London,SD,Grove Park Cemetery,"Lewisham, Shopping Centre",,Lewisham Station,Grove Park Cemetery,"Lewisham, Shopping Centre, Lewisham Station",,6.0,5.5,6.0,0.0,3.0,10.666,6.628
285,twentyfour,TF,Fulwell (Twickenham),Transport UK,DD,Kingston,Heathrow Central,Cromwell Road Bus Station,Heathrow Central Bus Station,"Kingston, Cromwell Road Bus Station",Heathrow Central,,5.0,5.0,5.0,2.0,5.0,20.189,12.545
286,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,"Greenwich, Cutty Sark",Queen Mary's Hospital,Greenwich Town Centre / Cutty Sark,Queen Mary's Hospital / Frognal Avenue,"Greenwich, Cutty Sark, Greenwich Town Centre / Cutty Sark",Queen Mary's Hospital,,4.0,4.0,4.0,0.0,3.5,14.717,9.145
287,regular,RM,Rainham,Stagecoach London,DD,"Rainham, Abbey Wood Lane",Barking,Abbey Wood Lane,Barking Station,"Rainham, Abbey Wood Lane",Barking,,4.0,4.0,4.0,0.0,3.0,13.204,8.205
288,regular,BT,Edgware,First,SD,Broadfields Estate,"Queensbury, Morrisons",Meadfield,,"Broadfields Estate, Meadfield","Queensbury, Morrisons",,6.0,6.0,6.0,0.0,4.0,6.468,4.019
